0.023,0.778
0.215,0.591
0.633,0.147
0.767,0.604
0.255,0.210
0.940,0.528
0.920,0.930
0.166,0.400
0.579,0.700
0.137,0.385
0.750,0.245
0.461,0.537
0.075,0.382
0.726,0.361
0.807,0.972
0.793,0.529
0.952,0.302
0.112,0.256
0.679,0.545
0.861,0.917
0.123,0.604
0.544,0.792
0.712,0.796
0.182,0.725
0.412,0.072
0.455,0.707
0.769,0.754
0.882,0.988
0.527,0.484
0.952,0.454
0.038,0.608
0.994,0.007
0.580,0.637
0.543,0.847
0.934,0.686
0.915,0.544
0.995,0.101
0.100,0.685
0.094,0.165
0.353,0.830
0.099,0.769
0.718,0.777
0.676,0.269
0.012,0.522
0.071,0.152
0.405,0.975
0.106,0.861
0.550,0.574
0.317,0.212
0.485,0.221
0.922,0.551
0.036,0.713
0.411,0.797
0.028,0.357
0.452,0.313
0.426,0.879
0.240,0.501
0.175,0.948
0.819,0.199
0.924,0.606
0.235,0.516
0.680,0.631
0.238,0.212
0.852,0.930
0.554,0.378
0.613,0.517
0.859,0.606
0.554,0.992
0.231,0.939
0.662,0.169
0.443,0.478
0.157,0.380
0.979,0.141
0.921,0.443
0.147,0.987
0.696,0.477
0.056,0.284
0.860,0.116
0.518,0.786
0.238,0.525
0.664,0.039
0.864,0.365
0.874,0.780
0.180,0.062
0.575,0.749
0.063,0.330
0.735,0.889
0.660,0.321
0.475,0.402
0.926,0.100
0.662,0.918
0.604,0.490
0.018,0.034
0.627,0.397
0.995,0.657
0.128,0.878
0.409,0.630
0.851,0.492
0.944,0.323
0.093,0.086
0.805,0.085
0.243,0.576
0.226,0.738
0.849,0.278
0.891,0.861
0.702,0.238
0.029,0.238
0.336,0.648
0.441,0.436
0.370,0.009
0.162,0.831
0.381,0.834
0.307,0.521
0.978,0.093
0.937,0.299
0.192,0.900
0.808,0.622
0.174,0.832
0.368,0.096
0.984,0.627
0.008,0.344
0.776,0.138
0.320,0.551
0.427,0.860
0.266,0.883
0.597,0.161
0.024,0.274
0.041,0.151
0.146,0.999
0.762,0.728
0.410,0.271
0.286,0.304
0.710,0.930
0.268,0.592
0.791,0.714
0.722,0.711
0.712,0.574
0.999,0.744
0.343,0.369
0.946,0.202
0.519,0.749
0.988,0.703
0.894,0.993
0.351,0.193
0.234,0.799
0.706,0.123
0.837,0.028
0.081,0.152
0.527,0.969
0.054,0.271
0.738,0.364
0.549,0.548
0.343,0.113
0.453,0.596
0.858,0.735
0.965,0.876
0.290,0.569
0.316,0.779
0.896,0.550
0.361,0.804
0.332,0.990
0.224,0.251
0.271,0.945
0.554,0.726
0.134,0.854
0.717,0.640
0.778,0.792
0.335,0.221
0.133,0.814
0.725,0.263
0.709,0.851
0.916,0.989
0.228,0.495
0.096,0.173
0.468,0.619
0.685,0.491
0.665,0.243
0.406,0.433
0.012,0.378
0.653,0.800
0.453,0.777
0.693,0.674
0.436,0.519
0.250,0.383
0.972,0.634
0.493,0.945
0.126,0.810
0.142,0.500
0.953,0.526
0.442,0.165
0.706,0.657
0.276,0.928
0.206,0.566
0.725,0.216
0.454,0.023
0.695,0.950
0.811,0.242
0.965,0.148
0.875,0.031
0.597,0.595
0.466,0.639
0.096,0.509
0.073,0.984
0.663,0.531
0.613,0.014
0.373,0.408
0.621,0.134
0.839,0.105
0.616,0.484
0.626,0.860
0.809,0.748
0.091,0.988
0.864,0.506
0.541,0.195
0.618,0.814
0.575,0.531
0.313,0.866
0.132,0.244
0.875,0.548
0.492,0.844
0.924,0.660
0.008,0.145
0.497,0.954
0.152,0.429
0.684,0.812
0.897,0.790
0.380,0.122
0.126,0.039
0.042,0.315
0.240,0.051
0.133,0.980
0.616,0.331
0.064,0.749
0.484,0.011
0.268,0.017
0.235,0.304
0.186,0.778
0.977,0.451
0.710,0.961
0.632,0.331
0.835,0.084
0.655,0.214
0.206,0.247
0.072,0.390
0.560,0.327
0.227,0.129
0.751,0.496
0.950,0.924
0.826,0.706
0.833,0.140
0.753,0.509
0.003,0.231
0.703,0.898
0.246,0.028
0.725,0.955
0.269,0.613
0.796,0.535
0.022,0.342
0.335,0.139
0.939,0.516
0.873,0.995
0.476,0.778
0.983,0.093
0.136,0.276
0.324,0.091
0.014,0.922
0.887,0.051
0.686,0.003
0.046,0.866
0.071,0.174
0.457,0.235
0.970,0.640
0.238,0.014
0.887,0.774
0.837,0.588
0.687,0.899
0.983,0.285
0.810,0.652
0.983,0.976
0.739,0.142
0.343,0.409
0.306,0.066
0.633,0.558
0.059,0.253
0.652,0.959
0.243,0.608
0.697,0.054
0.245,0.747
0.363,0.941
0.830,0.201
0.833,0.102
0.654,0.292
0.075,0.024
0.867,0.321
0.844,0.203
0.912,0.798
0.560,0.013
0.692,0.589
0.537,0.597
0.542,0.464
0.224,0.061
0.567,0.749
0.578,0.147
0.441,0.455
0.700,0.028
0.692,0.300
0.632,0.290
0.168,0.810
0.619,0.070
0.803,0.840
0.097,0.100
0.560,0.483
0.465,0.958
0.099,0.038
0.888,0.466
0.773,0.785
0.687,0.946
0.168,0.607
0.153,0.179
0.691,0.462
0.990,0.700
0.470,0.317
0.153,0.785
0.494,0.304
0.287,0.140
0.567,0.963
0.609,0.571
0.714,0.811
0.303,0.287
0.125,0.320
0.293,0.203
0.192,0.955
0.566,0.599
0.645,0.452
0.836,0.191
0.022,0.268
0.153,0.092
0.336,0.501
0.289,0.506
0.413,0.785
0.535,0.472
0.833,0.449
0.271,0.661
0.178,0.292
0.554,0.122
0.995,0.075
0.799,0.153
0.239,0.817
0.280,0.542
0.254,0.375
0.378,0.182
0.030,0.605
0.489,0.978
0.092,0.920
0.448,0.317
0.909,0.696
0.243,0.941
0.420,0.196
0.395,0.872
0.935,0.347
0.911,0.293
0.154,0.606
0.145,0.931
0.500,0.571
0.201,0.448
0.298,0.402
0.899,0.593
0.570,0.224
0.003,0.714
0.635,0.068
0.122,0.128
0.575,0.728
0.126,0.036
0.105,0.808
0.579,0.957
0.052,0.662
0.667,0.794
0.851,0.575
0.294,0.883
0.539,0.737
0.230,0.219
0.887,0.238
0.543,0.360
0.062,0.939
0.872,0.517
0.830,0.257
0.414,0.373
0.550,0.044
0.868,0.179
0.280,0.135
0.497,0.137
0.697,0.550
0.709,0.417
0.116,0.698
0.398,0.063
0.093,0.741
0.534,0.538
0.486,0.998
0.739,0.694
0.909,0.707
0.996,0.041
0.673,0.848
0.754,0.137
0.851,0.750
0.392,0.059
0.002,0.938
0.733,0.473
0.256,0.493
0.034,0.486
0.964,0.284
0.769,0.980
0.605,0.199
0.745,0.433
0.044,0.345
0.119,0.777
0.987,0.858
0.698,0.848
0.030,0.018
0.113,0.552
0.374,0.639
0.857,0.761
0.469,0.188
0.766,0.687
0.304,0.159
0.209,0.094
0.723,0.831
0.969,0.901
0.215,0.416
0.327,0.260
0.095,0.564
0.080,0.310
0.717,0.350
0.659,0.744
0.611,0.893
0.379,0.574
0.748,0.953
0.735,0.929
0.483,0.864
0.522,0.453
0.464,0.516
0.309,0.849
0.949,0.699
0.848,0.797
0.964,0.466
0.056,0.510
0.391,0.130
0.973,0.728
0.976,0.460
0.267,0.396
0.727,0.538
0.845,0.492
0.350,0.696
0.537,0.226
0.403,0.771
0.088,0.834
0.942,0.136
0.350,0.045
0.143,0.476
0.750,0.248
0.253,0.318
0.502,0.925
0.144,0.936
0.759,0.678
0.707,0.799
0.484,0.949
0.434,0.614
0.424,0.476
0.275,0.778
0.431,0.979
0.719,0.812
0.788,0.548
0.587,0.747
0.400,0.248
0.470,0.562
0.441,0.235
0.886,0.437
0.778,0.463
0.203,0.595
0.161,0.097
0.419,0.855
0.761,0.514
0.634,0.759
0.728,0.851
