0.488,0.619
0.384,0.656
0.560,0.191
0.934,0.700
0.736,0.522
0.434,0.448
0.114,0.756
0.155,0.997
0.961,0.900
0.410,0.951
0.708,0.317
0.083,0.761
0.620,0.536
0.481,0.420
0.012,0.743
0.352,0.138
0.509,0.653
0.547,0.416
0.926,0.395
0.390,0.917
0.345,0.537
0.037,0.399
0.366,0.936
0.517,0.491
0.014,0.907
0.493,0.035
0.549,0.200
0.196,0.940
0.192,0.469
0.615,0.811
0.842,0.894
0.202,0.077
0.827,0.267
0.461,0.802
0.349,0.842
0.503,0.373
0.820,0.320
0.518,0.803
0.666,0.896
0.499,0.727
0.611,0.071
0.715,0.303
0.756,0.063
0.322,0.503
0.308,0.125
0.224,0.468
0.304,0.900
0.591,0.942
0.122,0.906
0.249,0.235
0.810,0.866
0.162,0.215
0.153,0.955
0.001,0.345
0.135,0.721
0.442,0.081
0.150,0.133
0.595,0.320
0.280,0.165
0.410,0.430
0.072,0.671
0.272,0.374
0.134,0.054
0.057,0.954
0.304,0.055
0.146,0.593
0.533,0.867
0.067,0.606
0.288,0.215
0.837,0.421
0.166,0.522
0.214,0.103
0.742,0.510
0.072,0.337
0.064,0.710
0.041,0.525
0.748,0.969
0.414,0.179
0.239,0.913
0.068,0.246
0.951,0.614
0.471,0.796
0.128,0.505
0.544,0.084
0.626,0.979
0.338,0.018
0.890,0.738
0.178,0.522
0.847,0.516
0.359,0.604
0.117,0.113
0.020,0.878
0.006,0.271
0.975,0.261
0.837,0.589
0.024,0.145
0.110,0.136
0.232,0.851
0.157,0.508
0.320,0.963
